19,1,23,3,1,3
17,2,15,3,1,3
49,1,23,3,2,3
33,1,5,2,2,3
55,2,7,11,2,3
20,2,23,3,1,3
19,2,9,5,2,3
27,2,10,3,2,3
58,1,22,3,1,3
20,2,15,3,1,3
9,2,10,22,2,3
30,2,13,1,2,3
29,2,18,21,2,3
39,2,6,17,2,3
42,2,6,17,2,2
43,2,6,17,2,2
10,2,7,11,2,2
46,2,22,3,2,2
10,2,13,3,1,2
42,2,7,25,2,2
27,2,25,7,2,2
23,2,25,7,2,2
31,2,2,9,2,2
22,2,1,15,1,2
37,2,15,13,2,2
13,2,7,11,2,2
24,2,8,3,2,2
38,2,14,15,2,2
42,2,21,2,2,1
28,2,22,3,2,1
51,2,11,1,2,1
19,2,18,5,2,1
31,2,13,1,2,1
13,1,13,3,1,1
37,2,5,2,2,1
36,2,16,8,2,1
21,2,4,16,2,1
48,2,5,2,2,1
38,2,14,15,2,1
19,1,23,3,1,3
17,2,15,3,1,3
49,1,23,3,2,3
33,1,5,2,2,3
55,2,7,11,2,3
20,2,23,3,1,3
19,2,9,5,2,3
27,2,10,3,2,3
58,1,22,3,2,3
20,2,15,3,1,3
9,2,10,22,2,3
30,2,13,1,2,3
29,2,18,21,2,3
39,2,6,17,2,3
42,2,6,17,2,2
43,2,6,17,2,2
10,2,7,11,2,2
46,2,22,3,2,2
10,2,13,3,1,2
42,2,7,25,2,2
27,2,25,7,2,2
23,2,25,7,2,2
31,2,2,9,2,2
22,2,1,15,1,2
37,2,15,13,2,2
13,2,7,11,2,2
24,2,8,3,2,2
38,2,14,15,2,2
42,2,21,2,2,1
28,2,22,3,2,1
51,2,11,1,2,1
19,2,18,5,2,1
31,2,13,1,2,1
13,1,13,3,1,1
37,2,5,2,2,1
36,2,16,8,2,1
21,2,4,16,2,1
48,2,5,2,2,1
38,2,14,15,2,1
25,1,23,3,1,3
17,1,13,3,1,3
11,2,16,19,2,3
39,2,9,2,2,3
11,2,13,3,1,3
19,2,18,21,2,3
45,1,22,3,2,3
20,2,7,11,1,3
20,2,23,3,1,3
20,1,23,3,1,3
38,1,23,3,2,3
17,2,14,22,2,3
19,1,17,17,2,3
24,2,9,5,2,3
25,2,18,25,2,3
31,1,17,17,2,3
31,2,1,15,2,3
18,2,1,8,2,2
22,1,11,16,2,2
27,1,22,13,2,2
14,2,9,2,2,2
20,2,13,1,2,2
35,1,6,17,2,2
20,2,23,3,1,2
20,1,23,3,1,2
37,2,6,17,2,2
15,1,22,3,2,2
25,2,20,2,2,2
10,2,23,3,2,2
14,2,20,2,2,1
38,1,23,3,2,1
29,2,13,1,2,1
19,2,10,3,2,1
30,2,7,11,2,1
32,1,14,15,2,1
27,2,8,3,2,1
34,2,12,7,2,1
23,2,8,7,2,1
66,2,15,1,2,1
12,2,23,3,2,1
29,2,2,9,2,1
19,2,15,1,2,1
3,2,20,2,2,1
17,2,13,14,2,3
7,2,9,6,2,3
21,1,10,3,2,3
36,2,14,15,2,3
54,1,13,1,2,3
29,1,8,3,2,3
45,2,20,2,2,3
11,2,22,1,2,2
16,2,18,12,2,2
18,2,20,15,2,2
44,1,17,18,2,2
17,2,14,23,2,2
21,2,24,26,2,2
20,2,9,24,2,2
24,2,12,8,2,2
5,2,9,6,2,2
42,2,22,1,2,2
30,2,7,11,2,1
19,2,10,3,2,1
11,2,23,3,2,1
29,2,17,18,2,1
15,2,16,20,2,1
37,2,3,2,2,1
10,2,19,4,2,1
24,2,23,3,2,1
26,2,3,2,2,1
12,2,10,3,2,1
48,1,18,7,2,1
51,2,22,1,2,1
27,2,2,10,2,1
